account,ae,risk,renewal_date,quarter,arr,city,state,country,account_name,amount_currency,amount,contract_start_date,contract_end_date,dscoe_overall_risk_score,arr_at_risk_currency,arr_at_risk,cs_owner,account_owner,next_steps,active_account_products,connect_subscription_status,workbench_subscription_status,package_manager_subscription_status,billing_city,billing_state_province,billing_country,account_knowledge,customer_use_cases_and_applications
American Express,Frank Reilly,Medium,2027-01-31,2027-Q1,81550.0,Phoenix,None,United States,American Express,USD,81550.00,2/1/2026,1/31/2027,Medium,USD,0.00,Martineja Coats,Frank Reilly,,3,Active Paid,Active Paid,Active Paid,Phoenix,Arizona,United States,,Amex originally purchased our products to offer an R environment but there has been limited adoption and usage since due to industry shift to Python. Current use cases are limited to prototypes and POCs to support different businesses and one or two Shiny applications. We were able to secure 2024 renewal and convince them to upgrade to latest products. Once that's complete we will pursue new use cases around AI/ML/LLMs and socialize with Python devs.
ANZ Bank New Zealand Limited,Sabrina Evans,Medium,2028-07-21,2028-Q3,58447.15,Wellington,None,New Zealand,ANZ Bank New Zealand Limited,USD,58447.15,7/22/2027,7/21/2028,Medium,USD,10941.38,Martineja Coats,Sabrina Evans,"10.3.25 New CSM intro complete, customer has completed Positron demo. New CSM cadence scheduling in progress.",3,Active Paid,Active Paid,Active Paid,Wellington,,New Zealand,,"This account is from NZ, by law they need a fully functioning mirror environment from the primary environment in Australia,  incase they are cut off from Australia. For the day to day they use the primary environment in Australia with the other ANZ account."
Arkansas Blue Cross and Blue Shield,James Schumacher,Medium,2031-01-30,2031-Q1,232543.74,,None,United States,Arkansas Blue Cross and Blue Shield,USD,232543.74,1/31/2028,1/30/2031,Medium,USD,0.00,Martineja Coats,James Schumacher,"10/3/25 Customer has been working through ongoing TAM, with potential for PTD, account team will set up sync for QBR's since TAM is completing in Nov. 

3/6/25 - INTRO TO JAMES/MARTINEJA",4,Active Paid,Active Paid,Active Paid,,Arkansas,United States,"RANK: 2 
 Subscription: PTM-adv(30,100) + TAM (11/14/2025) 
 License Expires: Q1 - 1/30/2028 
 Multi-years: Active 1/30/2028 Customer since: 2/14/2022 Expansions (to 1/2025): 3 Active expansion: Support tickets: Growth potential: High spend R/Python users: 85 
 Sales Navigator personas 
 Notes: Account Knowledge 02/11/2025 - Product architecture isn't set up for ML, but they're interested in hosting complex models. So they're looking into snowflake and dbx. Computation for modeling is taking place in snowflake? -- want to move modeling into WB and PCT long term. TAM requirement came from hitting roadblocks with their IT staff. PPM is correctly set up and adequately resourced. Purchased academy in the past, Thuy and Joe were mentors --- 
 01/30/2025 - Update from Abby's contact, Jasmine Lucas (no longer w/ company) ""They're having some financial troubles recently... eeeew! --- $100M loss in 2024, Rising costs and utilization, but also lost of major strategic account."" 01/24/2025 - Abby has previous experience w/ this account - clear point strategy... 
 From? Invest. Academy specifically. A. LISN skills, R=28, Python=34, Both=11. Growth in past and with Academy in particular as moving away from SAS. 
 Note that under threat somewhat from databricks. We had a call with James Blair on 2/15 to mitigate that and for 1 of the 2 teams (health econ) it was well received). Need to build communication wtih the other team though (DS team). 
 Have an Academy cohort starting in Feb '24, need that to be a big success, then expand with a SAS to R initiative. 
 2 teams: 1) Dr. Novotny, Aaron, leads team with Thuy who manages Joe, Health Econ. 2) Dr. Justin Parker, DS team, leads Mario, more skeptical of us it seems and closer to databricks. 
 
 08/03/23 DL: Architecture Review completed with SE - diagram attached at Account level 
 Summary slides: https://docs.google.com/presentation/d/1qyDl5S7A90f6X4KoxLSkHPodfWLQ9-I_YA7HYtV_ZKs/edit#slide=id.g264b7f6b675_0_0 
 [10/18/22 KTP] UMIC NDA signed October 14, 2022. KTP asked ABCBS to sign RStudio's Security Questionnaire NDA, so we have a direct contract on file. As a current customer, the EULA would typically cover security questionnaires, but they purchase via reseller, so they have not directly signed off on our EULA. This step was just a precaution since they asked us to fill out a risk assessment.","What problem(s) does each Posit product solve for the customer? Data science and analytics, including advanced data analysis, visualization, and modeling Collaboration and team productivity, enabling flexible and high-performing tools for 25-75 users Enterprise-wide adoption, with Workbench, Connect, and Package Manager used across multiple teams and departments Sharing interactive assets like Shiny apps, dashboards, and models, and allowing access for executives and other users Integrating Posit's products with cloud platforms like Snowflake and Databricks, and leveraging Posit's managed services 
 Which version of each product is the customer currently running on? unk 
 Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) On prem with consideration for Azure 
 If PWB customer, how many different IDE's are in use? Are they integrated with Databricks or Snowflake Snowflake, interested in Databricks If PCT customer, how many content types are published on connect? There are two main content types published on Posit Connect: interactive assets (such as Shiny applications, dashboards, and models) and static or rendered content (such as Markdown documents, HTML outputs, and Jupyter notebooks)."
Australia & New Zealand Banking Group Ltd.,Sabrina Evans,Medium,2028-08-01,2028-Q3,352236.81,Docklands,None,Australia,Australia & New Zealand Banking Group Ltd.,USD,352236.81,8/2/2027,8/1/2028,Medium,USD,0.00,Martineja Coats,Sabrina Evans,,4,Active Paid,Active Paid,Active Paid,Docklands,Victoria,Australia,,"What problem(s) does each Posit product solve for the customer? 
 As part of ANZ Bank?s company values, they challenge their team to be better by finding ways to work differently and using data to improve. In 2024, ANZ Bank?s people and systems stopped more than $140 million being sent to criminals One aspect that contributes to this work includes improvements to their fraud detection. To improve decision-making, they needed to build better models faster and more efficiently. Using Posit Team, ANZ Bank transformed their model validation process to replace manual steps with an automated workflow. With regulatory guidelines and audit requirements, it?s important for ANZ Bank to have a consistent and standardized approach for monitoring and validating models. Posit Team has helped ensure consistent metrics across multiple models and methodologies to ensure compliance. Rajashree Patra is the Product Owner for Posit Team at ANZ. In his role, he oversees the development and strategic direction of the Posit platform. His goal is to drive innovation and continuous improvement within the platform by collaborating closely with cross-functional teams. ?We?ve reduced the once cumbersome 15-step process to just 3 efficient steps, allowing our team to focus on what really matters?building better models faster and more effectively. By automating the repetitive tasks involved in monitoring and validation, Posit has saved [ANZ Bank] more than 60,000 hours annually.? 
 Which version of each product is the customer currently running on? The last time I spoke to them, they were on 2024 versions. We have a call coming up next week with their platform team, and we will ask what version they are on now. Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) 
 GCP and on prem If PWB customer, how many different IDE's are in use? Are they integrated with Databricks or Snowflake? 
 RStudio IDE, Jupyter, VS Code. If PCT customer, how many content types are published on connect? 
 Shiny for R, Shiny for Python, Quarto, RMarkdown, APIs and I believe Dash."
AXA France S.A.,Kevin Hayden,High,2027-01-24,2027-Q1,222640.0,Paris,None,France,AXA France S.A.,USD,222640.00,1/25/2026,1/24/2027,High,USD,222640.00,Martineja Coats,Kevin Hayden,"6/4 (ET): Eric, Kevin, and Ethan meeting in September (date TBD) to discuss w/ AXA team post-migration to Databricks how Posit can compliment their simplified deployment on Databricks.",1,Never Owned,Never Owned,Never Owned,Paris,,France,,"Business Needs: AXA has been on a special unrestricted SSP license for the last 4 years and is renewing this license one last time. We have some new biz stakeholders and architecture folks engaged who want to understand the path to upgrading to Connect and to potentially support additional use cases with Posit across the enterprise. AXA realizes they are only scratching the surface with Posit's tools and want to see how they can support open source data science more broadly. 
 ? Next Steps: We need to schedule a demo with leadership and IT stakeholders to review PCT functionality and to discuss PWB and PPM as well. They also want to understand how other organizations deploy Posit and review architecture recommendations."
AXA XL,Kevin Hayden,Medium,2027-06-14,2027-Q2,508511.25,Stamford,None,United States,AXA XL,USD,508511.25,6/15/2026,6/14/2027,Medium,USD,0.00,Martineja Coats,Kevin Hayden,,5,Active Paid,Active Paid,Active Paid,Stamford,Connecticut,United States,,"AXA XL uses Posit Team as a central part of their actuarial data science practice. They leverage R heavily and use Shiny apps for various insurance pricing and modeling activities. 
 
 AXA XL is in the midst of a major migration from on prem to Azure. AXA XL has worked with a consulting firm the last year or so and one of the ideas that was floated that the org should diversify and not rely so much on R (Shiny). They have hundreds of Shiny applications that are used widely across the org, especially in their RDAPP (Risk Decision and Pricing Platform). They have several hundred actuaries who love and use R (PWB) and moving to Python would be a huge shift. However, Steve needs to understand that we are investing heavily in Python. We have also discussed Python training with Academy over the years as well.Also we just learned that they want to review the potential to move RDAPP models out of Posit Connect and to deploy them instead in Salesforce. That way AXA XL employees can then create proposals and quotes directly in Salesforce for customers. They have 4K PCT users currently so that is definitely a risk. Our understanding is that no final decisions have been made.Additionally AXA XL is moving a lot of work to Databricks (they are not using Snowflake at all). We want to tell the story about how our customers see value by investing in both Posit + Databricks"
Banco Santander,Kevin Hayden,Medium,2027-01-22,2027-Q1,66772.16,,None,United States,Banco Santander,USD,66772.16,1/23/2026,1/22/2027,Medium,USD,66772.16,Martineja Coats,Kevin Hayden,,2,,,,,,United States,,
Bayerische Landesbank,Evan Spessard,Medium,2027-04-06,2027-Q2,0.0,München,None,Germany,Bayerische Landesbank,USD,0.00,4/7/2026,4/6/2027,Medium,USD,0.00,Martineja Coats,Evan Spessard,"Mid-Late September ES: Will meet with Ivelina for contracting

9/23/25 ES: Michael confirmed they're interested in User Training - Hoping to activate ~5 free seats in Nov EU session

9/4 AC/MC Q4 Risk Audited - confirmed no risk. Happy  and likely growth. 

9/3/25 ES: Gerhard to confirm number of R users and plan for any potential services needs in 2026. Might also be scheduling a User Training exploration session with Ryan Johnson. 

8/20/25 ES: Monthly check-in - Python team is up and running and PCT issue has been resolved. Gerhard wants to add R users in current contract for integration next year. He also thinks Python users could increase so looking at somewhere between 50 current --> 100 - 150  PWB users. Connect could increase as well. Good chance that they do User Training with Ryan and add on TPA services for R work and upcoming Azure/Kubernetes migration in 2026.

8/12/25 ES: No reply from Ivelina so likely she'll rely on Gerhard for this renewal discussion. Christopher from BayernLB reached out looking for a backfill for Ralf while he is OOO but we can't accommodate. Our BayernLB contacts will be laser focused on Python enablement before they can realistically consider any R adoption with their years 2-3 renewal.

8/5/26 ES: F/u with Ivelina to gauge timeline for 2026-2027 planning

7/25/25 ES: Executed 3-month paid TPA extension for Bayern; Gerhard is holding strong on keeping R users at arms length. Messaged Ivelina separately to start planning '26-'27 strategy -- hoping she can help sway Gerhard bc of price advantages.

6/20/25 ES: Meeting with Ralf and Shannon to discuss TPA extension

6/13/25 ES: TPA install moving smoothly for PWB + PPM but running into unique issues with PCT install. Ralf may be getting hands-on-keyboard access to Bayern's network but TBD on if that would even prove to be productive. BayernLB also only has ~4 TPA hours remaining so will likely need an extension. There are also anywhere between 20-50 R users that we need to work on adding into the Posit environment. Hoping to secure TPA extension that will help finalize Python enviro and stand up R enviro.",5,,,,München,,Germany,,
"BlackRock Financial Management, Inc.",Frank Reilly,Medium,2026-12-15,2026-Q4,41393.0,New York,None,United States,"BlackRock Financial Management, Inc.",USD,41393.00,12/16/2025,12/15/2026,Medium,USD,7810.00,Martineja Coats,Frank Reilly,9/6/2025 JA/ET Q4 Risk Audited,3,Active Paid,Active Paid,Never Owned,New York,New York,United States,,
"BlackRock Financial Management, Inc.",Frank Reilly,Medium,2027-07-15,2027-Q3,29256.0,New York,None,United States,"BlackRock Financial Management, Inc.",USD,29256.00,7/16/2026,7/15/2027,Medium,USD,2925.60,Martineja Coats,Frank Reilly,,3,Active Paid,Active Paid,Never Owned,New York,New York,United States,,
